1, ford, 2011, 190552, 2899
3, ford, 2014, 64146, 25000
9, ford, 2017, 63418, 5250
14, ford, 2013, 100757, 20700
18, ford, 2017, 35714, 5210
19, ford, 2013, 54380, 38100
23, ford, 2017, 46010, 6180
24, ford, 2013, 105510, 20800
28, ford, 2017, 44174, 4190
29, ford, 2008, 93698, 13000
33, ford, 2017, 37792, 5330
34, ford, 2003, 58817, 13000
38, ford, 2017, 32366, 7320
39, ford, 2003, 176567, 7000
43, ford, 2017, 38123, 6330
44, ford, 2017, 15273, 55000
49, ford, 2017, 26241, 54000
53, ford, 2017, 44794, 7760
63, ford, 2017, 29942, 6650
68, ford, 2017, 25602, 4340
73, ford, 2017, 31792, 4430
78, ford, 2017, 36732, 4140
83, ford, 2017, 36139, 4640
84, ford, 2016, 84413, 24000
88, ford, 2017, 17617, 4140
89, ford, 2016, 36855, 11500
90, ford, 2017, 110316, 9110
93, ford, 2017, 120353, 9300
96, ford, 2017, 39333, 15110
97, ford, 2015, 42930, 34000
99, ford, 2017, 44929, 5990
100, ford, 2018, 16971, 13600
102, ford, 2017, 40455, 10780
103, ford, 2018, 23164, 13800
105, ford, 2017, 45191, 7070
106, ford, 2018, 21405, 8700
108, ford, 2017, 42104, 8530
111, ford, 2017, 29882, 7000
112, ford, 2018, 34819, 17000
114, ford, 2017, 29168, 6980
117, ford, 2017, 21770, 9200
120, ford, 2017, 30318, 7070
121, ford, 2017, 48086, 28500
123, ford, 2017, 57611, 23500
125, ford, 2017, 84916, 10940
126, ford, 2017, 24521, 32100
128, ford, 2017, 35888, 6830
149, ford, 2014, 204155, 6700
152, ford, 2016, 86826, 19900
155, ford, 2016, 62774, 22300
158, ford, 2016, 72885, 22800
161, ford, 2016, 33514, 18500
164, ford, 2016, 77638, 28800
167, ford, 2016, 24157, 21000
170, ford, 2014, 47055, 25800
173, ford, 2014, 75785, 14600
175, ford, 2017, 42289, 15110
176, ford, 2014, 79422, 7900
178, ford, 2017, 66582, 15290
179, ford, 2015, 61436, 26500
181, ford, 2017, 55618, 7320
184, ford, 2017, 40747, 4140
187, ford, 2017, 37176, 4160
190, ford, 2017, 72445, 15840
191, ford, 2014, 123355, 20500
193, ford, 2017, 60219, 4200
194, ford, 2011, 135077, 17400
196, ford, 2017, 76858, 0
197, ford, 2011, 309564, 15700
199, ford, 2017, 90618, 3740
202, ford, 2017, 31563, 3160
205, ford, 2017, 126523, 12990
